Date,Description,Category,Income,Debits,Running Balance
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
,,,,,"-$1,101.60"
